X,Y,country,nThumbsUp,city,reportRating,confidence,reliability,latitude,globalid,type,uuid,roadType,magvar,subtype,street,reportDescription,objectid,pubMillis,longitude
16.645919,49.196647,EZ,2,Brno,0,1,8,49.196647,{C022711E-B312-F390-AF31-FA85519B033E},ROAD_CLOSED,9da5cb19-ccc6-48da-b191-bef5c25696e1,1,358,ROAD_CLOSED_EVENT,GajdoÅ¡ova,,1046786,2023/11/06 13:01:56+00,16.645919
16.64593,49.195479,EZ,49,Brno,0,5,10,49.195479,{09746FC5-F70C-6946-D9DE-1E1E1E0B6B3C},ROAD_CLOSED,6011b966-a425-4c9a-8c6a-4bf3e93688fe,1,359,ROAD_CLOSED_EVENT,GajdoÅ¡ova,,1046789,2023/11/06 13:01:56+00,16.64593
16.6456,49.198987,EZ,12,Brno,0,5,10,49.198987,{890E17F0-56C7-122B-773A-6989D72C2B3F},ROAD_CLOSED,7ab46d52-4e43-456e-95b6-0817432ffe54,1,247,ROAD_CLOSED_EVENT,HrozÅˆatova,,1078415,2023/11/26 11:00:30+00,16.6456
16.644917,49.199333,EZ,33,Brno,0,5,10,49.199333,{C08947CB-34EA-9F3B-2482-D29684DF4369},ROAD_CLOSED,2e01776a-8b4f-40e2-af4a-2adee31f2e94,1,67,ROAD_CLOSED_EVENT,KaleckÃ©ho,,1078416,2023/11/26 11:00:31+00,16.644917
16.645108,49.199384,EZ,5,Brno,0,2,10,49.199384,{C7B3A6AE-CB75-673D-F247-D450B9DF998E},ROAD_CLOSED,d3819d41-8197-4524-8b98-6fd8d1e84e95,1,247,ROAD_CLOSED_EVENT,KaleckÃ©ho,,1078417,2023/11/26 11:00:31+00,16.645108
16.645434,49.198943,EZ,37,Brno,0,5,10,49.198943,{8C481E7F-FC30-CD7C-9D1D-CB416A99559D},ROAD_CLOSED,27211030-5575-4296-90ad-e71b4dff54d6,1,67,ROAD_CLOSED_EVENT,HrozÅˆatova,,1078418,2023/11/26 11:00:31+00,16.645434
16.632045,49.162405,EZ,62,,0,5,10,49.162405,{C16B2F90-67FB-D800-EA17-12B6A09707AA},ROAD_CLOSED,5490be2e-d6b8-40c4-af5e-f3fc59f23825,4,231,ROAD_CLOSED_EVENT,Â» Praha / Wien (A),,1085181,2023/11/30 09:49:08+00,16.632045
16.600151,49.157673,EZ,86,,0,5,10,49.157673,{66859E92-77B0-B9AC-A139-4F8A7996E59C},ROAD_CLOSED,b13f1684-b540-4d5e-ba97-9d6abd926ea1,4,59,ROAD_CLOSED_EVENT,Â» Olomouc / Uh. HradiÅ¡tÄ› / Bratislava (SK),,1118743,2023/12/19 07:55:36+00,16.600151
16.617632,49.188591,EZ,10,Brno,0,5,10,49.188591,{3B8AC5D8-9496-580C-240F-79369D9993B2},ROAD_CLOSED,888e2f3a-767b-44bb-98ad-2bf1b58930a3,1,207,ROAD_CLOSED_EVENT,VlnÄ›na,,1130111,2024/01/02 06:27:12+00,16.617632
16.617196,49.18804,EZ,11,Brno,0,5,10,49.18804,{B36F68A3-BA3C-8D8A-DBE2-177145258DB6},ROAD_CLOSED,b3ed4bf8-c97e-4d17-9eea-60c81dbba371,1,27,ROAD_CLOSED_EVENT,VlnÄ›na,,1130112,2024/01/02 06:27:12+00,16.617196
16.637491,49.214239,EZ,5,Brno,0,2,10,49.214239,{33A47BC5-E058-589A-127B-6D0AD005EF67},ROAD_CLOSED,deccf51e-44f7-4abe-bdd6-a5a225473234,1,142,ROAD_CLOSED_EVENT,Kaloudova,,1133583,2024/01/06 17:41:22+00,16.637491
16.639189,49.212794,EZ,6,Brno,0,3,10,49.212794,{C2AB0C71-DC75-31CE-9194-D96594E0489C},ROAD_CLOSED,e9b96ce9-85e1-4d16-a660-110434578b99,1,322,ROAD_CLOSED_EVENT,Kaloudova,,1133584,2024/01/06 17:41:22+00,16.639189
16.645545,49.20869,EZ,4,Brno,0,2,10,49.20869,{56205014-5574-AE06-DF52-E7D34F0ABB1B},ROAD_CLOSED,7ea91ba1-ec29-4d63-b6f0-ab7481cf1f65,1,192,ROAD_CLOSED_EVENT,Kulkova,,1134473,2024/01/08 09:35:58+00,16.645545
16.645358,49.208139,EZ,8,Brno,0,4,10,49.208139,{C2185714-4A15-C7F7-B5D0-4AE9974B06BD},ROAD_CLOSED,0688a176-5c22-42ca-a592-c71bfd3cdd08,1,12,ROAD_CLOSED_EVENT,Kulkova,,1134474,2024/01/08 09:35:58+00,16.645358
16.645358,49.208139,EZ,5,Brno,0,2,10,49.208139,{6701F059-6BCF-2CBF-3964-C4E07C92E2EF},ROAD_CLOSED,1de1f70f-1cf6-474b-800e-e70fc25d1278,1,187,ROAD_CLOSED_EVENT,Kulkova,,1134475,2024/01/08 09:35:58+00,16.645358
16.645138,49.207015,EZ,16,Brno,0,5,10,49.207015,{B39FB33D-5FED-AD3D-AC27-5A42A65C3491},ROAD_CLOSED,478b025f-54a8-4fa3-8c17-a17b615f6fa8,1,7,ROAD_CLOSED_EVENT,Kulkova,,1134476,2024/01/08 09:35:58+00,16.645138
16.606745,49.212805,EZ,9,Brno,5,4,10,49.212805,{0B290301-D681-4A20-B1A4-4F187B950DC1},ROAD_CLOSED,6b7fdfcf-12ba-4596-a2b8-e82bbb884a69,1,71,ROAD_CLOSED_EVENT,,,1141034,2024/01/13 12:02:39+00,16.606745
16.607085,49.212881,EZ,2,Brno,5,1,8,49.212881,{98C0B5AD-770D-6F95-6573-1E5D1BB1E340},ROAD_CLOSED,bfa1acf2-6841-406f-adb2-c58ed0bcc20c,1,251,ROAD_CLOSED_EVENT,,,1141035,2024/01/13 12:02:39+00,16.607085
16.63161,49.217521,EZ,1,Brno,5,0,7,49.217521,{33E6C843-E94D-A5F7-0255-8792F66CB58E},ROAD_CLOSED,a9cbd02d-0e8a-4eda-9648-e1256c1f1a8d,1,280,ROAD_CLOSED_EVENT,SlezÃ¡kova,,1174470,2024/02/13 23:00:10+00,16.63161
16.634861,49.216969,EZ,4,Brno,5,2,10,49.216969,{ADCFE192-D4E2-8471-EB9F-1842744A6F07},ROAD_CLOSED,cb6bfcef-a11b-42fb-b757-ac7ed42e9e4e,1,285,ROAD_CLOSED_EVENT,SlezÃ¡kova,,1174471,2024/02/13 23:00:10+00,16.634861
16.629203,49.219659,EZ,13,Brno,5,5,10,49.219659,{FC9BF088-2383-15E3-1D29-9C01886728A6},ROAD_CLOSED,4a64e3d6-8577-4eff-84ee-85722dbee507,2,23,ROAD_CLOSED_EVENT,Merhautova,,1179769,2024/02/17 10:16:26+00,16.629203
16.629567,49.220216,EZ,4,Brno,5,2,10,49.220216,{F6F13802-7BC9-F331-A930-B2A9822A120B},ROAD_CLOSED,34cd5ae8-da8e-4c15-94ff-511712727904,2,203,ROAD_CLOSED_EVENT,Merhautova,,1179770,2024/02/17 10:16:26+00,16.629567
16.613443,49.192702,EZ,8,Brno,5,4,10,49.192702,{F9234E28-6F7B-F4DD-2841-7EDA7BAD6F3D},ROAD_CLOSED,20ca41d8-04de-4eec-b6f7-a13f778d5c27,17,200,ROAD_CLOSED_EVENT,BeneÅ¡ova,,1180426,2024/02/18 11:00:11+00,16.613443
16.611427,49.191106,EZ,9,Brno,5,4,10,49.191106,{A3214D3D-33FD-6B81-A167-359ADB8B971A},ROAD_CLOSED,41b47c09-cf20-4601-8dd6-83e20b782b6f,1,239,ROAD_CLOSED_EVENT,NÃ¡draÅ¾nÃ­,,1180607,2024/02/18 18:00:11+00,16.611427
16.66607,49.185705,EZ,19,Brno,5,5,10,49.185705,{B40AA141-A4F7-F912-59A2-0D60ADB84489},ROAD_CLOSED,917be6f4-cffe-4d48-9383-2f11f6aa3c09,4,137,ROAD_CLOSED_EVENT,Â» Ochoz / LÃ­Å¡eÅˆ / Slatina,,1181338,2024/02/19 09:07:09+00,16.66607
